site_id,date,NDVI
WL-BHE-01,2023-01,0.7929
WL-BHE-01,2023-03,0.6591
WL-BHE-01,2023-04,0.8407
WL-BHE-01,2023-05,0.858
WL-BHE-01,2023-06,0.8513
WL-BHE-01,2023-07,0.7924
WL-BHE-01,2023-08,0.7606
WL-BHE-01,2023-09,0.6782
WL-BHE-01,2023-10,0.6397
WL-BHE-01,2023-11,0.6809
WL-BHE-01,2024-01,0.5439
WL-BHE-01,2024-02,0.7726
WL-BHE-01,2024-03,0.7601
WL-BHE-01,2024-04,0.792
WL-BHE-01,2024-05,0.7827
WL-BHE-01,2024-06,0.7858
WL-BHE-01,2024-07,0.7593
WL-BHE-01,2024-08,0.6881
WL-BHE-01,2024-09,0.6837
WL-BHE-01,2024-10,0.6281
WL-BHE-01,2024-11,0.6376
WL-BHE-01,2024-12,0.6268
WL-BHE-01,2025-01,0.7728
WL-BHE-01,2025-03,0.7341
WL-BHE-01,2025-04,0.8578
WL-BHE-01,2025-05,0.852
WL-BHE-01,2025-06,0.835
WL-BHE-01,2025-07,0.7793
WL-BHE-01,2025-08,0.7228
WL-BHE-01,2025-09,0.6065
WL-BHE-01,2025-10,0.6363
WL-BHE-01,2025-11,0.6545
WL-BHE-01,2025-12,0.7185
WL-BHE-01,2026-01,0.8021
WL-BHE-01,2026-02,0.8371
WL-BHE-01,2026-03,0.8735
WL-BHE-01,2026-04,0.8854
WL-BHE-01,2026-05,0.8906
WL-BHE-01,2026-06,0.8906
WL-BHE-01,2026-07,0.8278
WL-BHE-02,2023-01,0.784
WL-BHE-02,2023-03,0.684
WL-BHE-02,2023-04,0.8599
WL-BHE-02,2023-05,0.8876
WL-BHE-02,2023-06,0.8774
WL-BHE-02,2023-07,0.8155
WL-BHE-02,2023-08,0.7876
WL-BHE-02,2023-09,0.6933
WL-BHE-02,2023-10,0.6427
WL-BHE-02,2023-11,0.6864
WL-BHE-02,2024-01,0.7779
WL-BHE-02,2024-02,0.821
WL-BHE-02,2024-03,0.825
WL-BHE-02,2024-04,0.8807
WL-BHE-02,2024-05,0.8825
WL-BHE-02,2024-06,0.8578
WL-BHE-02,2024-07,0.8001
WL-BHE-02,2024-08,0.7198
WL-BHE-02,2024-09,0.6932
WL-BHE-02,2024-10,0.4295
WL-BHE-02,2024-11,0.4878
WL-BHE-02,2024-12,0.537
WL-BHE-02,2025-01,0.7055
WL-BHE-02,2025-03,0.6612
WL-BHE-02,2025-04,0.8464
WL-BHE-02,2025-05,0.8613
WL-BHE-02,2025-06,0.8612
WL-BHE-02,2025-07,0.8113
WL-BHE-02,2025-08,0.7694
WL-BHE-02,2025-09,0.6677
WL-BHE-02,2025-10,0.668
WL-BHE-02,2025-11,0.6767
WL-BHE-02,2025-12,0.7174
WL-BHE-02,2026-01,0.778
WL-BHE-02,2026-02,0.807
WL-BHE-02,2026-03,0.8495
WL-BHE-02,2026-04,0.798
WL-BHE-02,2026-05,0.8524
WL-BHE-02,2026-06,0.8574
WL-BHE-02,2026-07,0.815
WL-BHE-03,2023-01,0.6691
