site_id,trend,improvement_rate,change_percent,latest_ndvi,avg_ndvi
WL-BHE-01,Stable,48.6,5.0,0.7105,0.7692
WL-BHE-02,Improving,43.2,15.4,0.717,0.752
WL-BHE-03,Declining,29.7,-11.4,0.503,0.6153
WL-BHE-04,Stable,40.5,-1.3,0.5444,0.6557
WL-BHE-05,Stable,37.8,-9.2,0.5356,0.6347
WL-BUF-01,Declining,40.0,-35.6,0.4253,0.5425
WL-BUF-02,Declining,40.0,-46.1,0.4485,0.6513
WL-BUF-03,Declining,34.3,-33.1,0.39,0.478
WL-BUF-04,Declining,37.1,-43.5,0.3838,0.5985
WL-BUF-05,Declining,37.1,-43.8,0.3674,0.574
WL-BUF-06,Declining,34.3,-37.7,0.4192,0.5356
WL-BUF-07,Declining,34.3,-26.0,0.4486,0.5336
WL-BUF-08,Declining,37.1,-33.3,0.516,0.6492
WL-DAR-01,Declining,35.5,-35.2,0.5144,0.6254
WL-DAR-02,Declining,29.0,-49.6,0.3845,0.5349
WL-DAR-03,Stable,45.2,-9.9,0.8038,0.8453
WL-DAR-04,Declining,32.3,-46.2,0.4467,0.588
WL-DAR-05,Declining,41.9,-11.9,0.7577,0.8315
WL-DAR-06,Declining,41.9,-14.1,0.736,0.7799
WL-FER-01,Declining,45.2,-20.9,0.5345,0.6453
WL-FER-02,Declining,35.5,-32.1,0.5078,0.6772
WL-FER-03,Declining,41.9,-28.9,0.3047,0.3944
WL-FER-04,Declining,38.7,-41.0,0.4057,0.6038
WL-FER-05,Declining,48.4,-18.8,0.6061,0.7406
WL-MKU-01,Declining,38.5,-20.3,0.56,0.6111
WL-MKU-02,Improving,38.7,61.1,0.5879,0.6463
WL-MKU-03,Declining,38.7,-31.8,0.4357,0.5881
WL-MKU-04,Declining,45.2,-21.8,0.4509,0.543
WL-MKU-05,Declining,38.7,-50.7,0.3273,0.537
WL-MKU-06,Declining,37.5,-25.5,0.3858,0.534
WL-SOM-01,Declining,32.3,-51.0,0.3508,0.591
WL-SOM-02,Declining,38.7,-49.4,0.3318,0.5145
WL-SOM-03,Declining,29.0,-55.8,0.3284,0.5735
WL-SOM-04,Declining,32.3,-50.6,0.3626,0.5629
WL-SOM-05,Declining,25.8,-53.6,0.3489,0.5819
WL-SOM-06,Declining,38.7,-44.0,0.4462,0.6293
WL-SON-01,Declining,39.5,-31.7,0.4077,0.6534
WL-SON-02,Declining,39.5,-43.8,0.3797,0.6506
WL-SON-03,Declining,40.5,-49.9,0.3804,0.6488
WL-SON-04,Declining,36.8,-31.2,0.4063,0.651
WL-UTH-01,Declining,29.3,-63.6,0.2579,0.5009
WL-UTH-02,Declining,41.5,-58.9,0.2769,0.4963
WL-UTH-03,Declining,34.1,-63.0,0.2576,0.5442
WL-UTH-04,Declining,29.3,-62.5,0.2563,0.4957
WL-UTH-05,Declining,29.3,-64.7,0.2155,0.4421
WL-UTH-06,Declining,34.1,-63.7,0.2428,0.5233
WL-UTH-07,Declining,29.3,-63.5,0.25,0.48
WL-UTH-08,Declining,29.3,-68.5,0.2033,0.4677
WL-UTH-09,Declining,48.8,-63.3,0.2476,0.4787
WL-UTH-10,Declining,36.6,-60.2,0.2516,0.4983
