site_id,site_name,project_id,project_name,project_region,ecosystem_focus,monitoring_type,area_hectares,restoration_type,funding_status,invasive_species_cover,community_engagement,boundary_type,boundary_confidence
WL-BUF-01,Buffelsdraai Reforestation Project — Monitoring Area 01,WL-BUF,Buffelsdraai Reforestation Project,Greater eThekwini,Forest and woodland restoration,Reforestation / vegetation recovery,12.5,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BUF-02,Buffelsdraai Reforestation Project — Monitoring Area 02,WL-BUF,Buffelsdraai Reforestation Project,Greater eThekwini,Forest and woodland restoration,Reforestation / vegetation recovery,27.7,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BUF-03,Buffelsdraai Reforestation Project — Monitoring Area 03,WL-BUF,Buffelsdraai Reforestation Project,Greater eThekwini,Forest and woodland restoration,Reforestation / vegetation recovery,18.0,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BUF-04,Buffelsdraai Reforestation Project — Monitoring Area 04,WL-BUF,Buffelsdraai Reforestation Project,Greater eThekwini,Forest and woodland restoration,Reforestation / vegetation recovery,21.2,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BUF-05,Buffelsdraai Reforestation Project — Monitoring Area 05,WL-BUF,Buffelsdraai Reforestation Project,Greater eThekwini,Forest and woodland restoration,Reforestation / vegetation recovery,26.7,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BUF-06,Buffelsdraai Reforestation Project — Monitoring Area 06,WL-BUF,Buffelsdraai Reforestation Project,Greater eThekwini,Forest and woodland restoration,Reforestation / vegetation recovery,24.4,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BUF-07,Buffelsdraai Reforestation Project — Monitoring Area 07,WL-BUF,Buffelsdraai Reforestation Project,Greater eThekwini,Forest and woodland restoration,Reforestation / vegetation recovery,32.6,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BUF-08,Buffelsdraai Reforestation Project — Monitoring Area 08,WL-BUF,Buffelsdraai Reforestation Project,Greater eThekwini,Forest and woodland restoration,Reforestation / vegetation recovery,7.9,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-DAR-01,Dartmoor Nature Reserve Project — Monitoring Area 01,WL-DAR,Dartmoor Nature Reserve Project,KwaZulu-Natal Midlands,Grassland and wetland,Grassland / wetland condition,5.5,Wetland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-DAR-02,Dartmoor Nature Reserve Project — Monitoring Area 02,WL-DAR,Dartmoor Nature Reserve Project,KwaZulu-Natal Midlands,Grassland and wetland,Grassland / wetland condition,24.9,Wetland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-DAR-03,Dartmoor Nature Reserve Project — Monitoring Area 03,WL-DAR,Dartmoor Nature Reserve Project,KwaZulu-Natal Midlands,Grassland and wetland,Grassland / wetland condition,22.4,Wetland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-DAR-04,Dartmoor Nature Reserve Project — Monitoring Area 04,WL-DAR,Dartmoor Nature Reserve Project,KwaZulu-Natal Midlands,Grassland and wetland,Grassland / wetland condition,23.0,Wetland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-DAR-05,Dartmoor Nature Reserve Project — Monitoring Area 05,WL-DAR,Dartmoor Nature Reserve Project,KwaZulu-Natal Midlands,Grassland and wetland,Grassland / wetland condition,34.7,Wetland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-DAR-06,Dartmoor Nature Reserve Project — Monitoring Area 06,WL-DAR,Dartmoor Nature Reserve Project,KwaZulu-Natal Midlands,Grassland and wetland,Grassland / wetland condition,3.7,Wetland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-01,Upper uThukela Project — Monitoring Area 01,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,5.0,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-02,Upper uThukela Project — Monitoring Area 02,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,12.6,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-03,Upper uThukela Project — Monitoring Area 03,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,16.1,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-04,Upper uThukela Project — Monitoring Area 04,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,37.6,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-05,Upper uThukela Project — Monitoring Area 05,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,8.5,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-06,Upper uThukela Project — Monitoring Area 06,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,16.4,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-07,Upper uThukela Project — Monitoring Area 07,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,23.2,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-08,Upper uThukela Project — Monitoring Area 08,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,31.5,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-09,Upper uThukela Project — Monitoring Area 09,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,14.0,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-UTH-10,Upper uThukela Project — Monitoring Area 10,WL-UTH,Upper uThukela Project,uKhahlamba-Drakensberg,Grassland and rangeland,Ecological restoration / rangeland,37.8,Grassland,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-MKU-01,Living Lakes Biodiversity & Climate Project — Mkuze — Monitoring Area 01,WL-MKU,Living Lakes Biodiversity & Climate Project — Mkuze,iSimangaliso Wetland Park,Wetland and agroforestry,Wetland ecosystem function,26.9,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-MKU-02,Living Lakes Biodiversity & Climate Project — Mkuze — Monitoring Area 02,WL-MKU,Living Lakes Biodiversity & Climate Project — Mkuze,iSimangaliso Wetland Park,Wetland and agroforestry,Wetland ecosystem function,19.4,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-MKU-03,Living Lakes Biodiversity & Climate Project — Mkuze — Monitoring Area 03,WL-MKU,Living Lakes Biodiversity & Climate Project — Mkuze,iSimangaliso Wetland Park,Wetland and agroforestry,Wetland ecosystem function,23.3,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
